These are the random hours picked by my python script "random_hour_generator.py". I took the files from these hours


Random hours for 2013:
Month 1: 2013-01-09 09:00:00
Month 2: 2013-02-10 07:00:00
Month 3: 2013-03-02 10:00:00
Month 4: 2013-04-21 04:00:00
Month 5: 2013-05-31 06:00:00
Month 6: 2013-06-27 21:00:00
Month 7: 2013-07-07 07:00:00
Month 8: 2013-08-28 06:00:00
Month 9: 2013-09-19 23:00:00
Month 10: 2013-10-21 00:00:00
Month 11: 2013-11-30 10:00:00
Month 12: 2013-12-27 11:00:00

Random hours for 2014:
Month 1: 2014-01-30 13:00:00
Month 2: 2014-02-01 16:00:00
Month 3: 2014-03-20 06:00:00
Month 4: 2014-04-11 11:00:00
Month 5: 2014-05-05 12:00:00
Month 6: 2014-06-02 05:00:00
Month 7: 2014-07-24 12:00:00
Month 8: 2014-08-19 03:00:00
Month 9: 2014-09-05 22:00:00
Month 10: 2014-10-01 07:00:00
Month 11: 2014-11-30 22:00:00
Month 12: 2014-12-25 12:00:00

Random hours for 2015:
Month 1: 2015-01-22 17:00:00
Month 2: 2015-02-28 14:00:00
Month 3: 2015-03-20 21:00:00
Month 4: 2015-04-03 03:00:00
Month 5: 2015-05-29 17:00:00
Month 6: 2015-06-12 06:00:00
Month 7: 2015-07-31 19:00:00
Month 8: 2015-08-25 10:00:00
Month 9: 2015-09-28 10:00:00
Month 10: 2015-10-21 09:00:00
Month 11: 2015-11-27 00:00:00
Month 12: 2015-12-30 19:00:00

Random hours for 2016:
Month 1: 2016-01-10 23:00:00
Month 2: 2016-02-19 19:00:00
Month 3: 2016-03-09 01:00:00
Month 4: 2016-04-13 11:00:00
Month 5: 2016-05-08 13:00:00
Month 6: 2016-06-04 22:00:00
Month 7: 2016-07-16 11:00:00
Month 8: 2016-08-20 05:00:00
Month 9: 2016-09-11 12:00:00
Month 10: 2016-10-02 11:00:00
Month 11: 2016-11-22 14:00:00
Month 12: 2016-12-26 08:00:00

Random hours for 2017:
Month 1: 2017-01-10 07:00:00
Month 2: 2017-02-01 21:00:00
Month 3: 2017-03-26 23:00:00
Month 4: 2017-04-14 17:00:00
Month 5: 2017-05-20 08:00:00
Month 6: 2017-06-11 11:00:00
Month 7: 2017-07-31 05:00:00
Month 8: 2017-08-09 06:00:00
Month 9: 2017-09-10 07:00:00
Month 10: 2017-10-11 05:00:00
Month 11: 2017-11-27 07:00:00
Month 12: 2017-12-25 05:00:00

Random hours for 2018:
Month 1: 2018-01-20 07:00:00
Month 2: 2018-02-17 13:00:00
Month 3: 2018-03-01 00:00:00
Month 4: 2018-04-05 13:00:00
Month 5: 2018-05-12 11:00:00
Month 6: 2018-06-24 18:00:00
Month 7: 2018-07-01 14:00:00
Month 8: 2018-08-21 00:00:00
Month 9: 2018-09-11 05:00:00
Month 10: 2018-10-03 00:00:00
Month 11: 2018-11-08 05:00:00
Month 12: 2018-12-05 09:00:00

Random hours for 2019:
Month 1: 2019-01-07 09:00:00
Month 2: 2019-02-25 18:00:00
Month 3: 2019-03-21 12:00:00
Month 4: 2019-04-18 02:00:00
Month 5: 2019-05-27 00:00:00
Month 6: 2019-06-27 15:00:00
Month 7: 2019-07-19 18:00:00
Month 8: 2019-08-17 04:00:00
Month 9: 2019-09-25 20:00:00
Month 10: 2019-10-02 03:00:00
Month 11: 2019-11-18 09:00:00
Month 12: 2019-12-06 13:00:00

Random hours for 2020:
Month 1: 2020-01-29 11:00:00
Month 2: 2020-02-03 19:00:00
Month 3: 2020-03-03 10:00:00
Month 4: 2020-04-09 16:00:00
Month 5: 2020-05-18 10:00:00
Month 6: 2020-06-01 10:00:00
Month 7: 2020-07-17 20:00:00
Month 8: 2020-08-22 13:00:00

Month 9: 2020-09-25 18:00:00

Month 10: 2020-10-10 03:00:00
Month 11: 2020-11-24 19:00:00
Month 12: 2020-12-10 14:00:00

Random hours for 2021:
Month 1: 2021-01-29 12:00:00
Month 2: 2021-02-14 04:00:00
Month 3: 2021-03-06 02:00:00
Month 4: 2021-04-10 05:00:00
Month 5: 2021-05-18 00:00:00
Month 6: 2021-06-09 14:00:00
Month 7: 2021-07-12 04:00:00
Month 8: 2021-08-18 12:00:00
Month 9: 2021-09-30 02:00:00
Month 10: 2021-10-03 21:00:00
Month 11: 2021-11-09 15:00:00
Month 12: 2021-12-30 04:00:00

Random hours for 2022:
Month 1: 2022-01-30 07:00:00
Month 2: 2022-02-23 09:00:00
Month 3: 2022-03-25 09:00:00
Month 4: 2022-04-10 21:00:00
Month 5: 2022-05-11 11:00:00
Month 6: 2022-06-11 04:00:00
Month 7: 2022-07-14 22:00:00
Month 8: 2022-08-20 07:00:00
Month 9: 2022-09-25 19:00:00
Month 10: 2022-10-15 14:00:00
Month 11: 2022-11-13 23:00:00
Month 12: 2022-12-28 22:00:00






